Darlington,SC,39,62016,66833
Dauphin,PA,37,238580,255710
Davidson,NC,32,127175,156530
Davidson,TN,41,512139,619626
Davie,NC,32,28032,40516
Daviess,IN,13,27586,30035
Daviess,KY,16,87264,93756
Daviess,MO,24,7860,7963
Davis,IA,14,8321,8572
Davis,UT,43,188841,288146
Davison,SD,40,17529,19020
Dawes,NE,26,8972,8818
Dawson,GA,9,9531,21484
Dawson,MT,25,9410,8558
Dawson,NE,26,20032,24744
Dawson,TX,42,14314,13870
Day,SD,40,6967,5667
De Baca,NM,30,2246,1916
De Soto,LA,17,25594,26269
De Witt,IL,12,16554,16437
Deaf Smith,TX,42,19164,18452
Dearborn,IN,13,38979,49759
Decatur,GA,9,25573,28544
Decatur,IA,14,8303,8409
Decatur,IN,13,23635,24959
Decatur,KS,15,4011,2955
Decatur,TN,41,10484,11339
Deer Lodge,MT,25,10335,8852
Defiance,OH,34,39385,38543
DeKalb,AL,0,54875,68016
DeKalb,GA,9,549655,737093
DeKalb,IL,12,78347,103729
DeKalb,IN,13,35463,41796
DeKalb,MO,24,9975,12234
DeKalb,TN,41,14436,18436
Del Norte,CA,4,23986,29022
Delaware,IA,14,18046,17459
Delaware,IN,13,119774,115419
Delaware,NY,31,47464,46286
Delaware,OH,34,67482,160865
Delaware,OK,35,28134,40406
Delaware,PA,37,548033,554399
Delta,CO,5,21053,30334
Delta,MI,21,37849,37367
Delta,TX,42,4811,5375
Denali,AK,1,0,1838
Dent,MO,24,13739,15063
Denton,TX,42,276436,612357
Denver,CO,5,468139,588349
Des Moines,IA,14,42668,40701
Deschutes,OR,36,76053,154028
Desha,AR,3,16794,13799
DeSoto,FL,8,24094,34675
DeSoto,MS,23,68620,149393
Deuel,NE,26,2244,1893
Deuel,SD,40,4522,4259
Dewey,OK,35,5537,4338
Dewey,SD,40,5534,6005
DeWitt,TX,42,18804,19730
Dickens,TX,42,2552,2511
Dickenson,VA,45,17552,16168
Dickey,ND,33,6045,5356
Dickinson,IA,14,14935,16696
Dickinson,KS,15,18928,18957
